                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6904,                 3.5466,                  2.478,                0.00249,                0.74667,                0.01491,                0.00336,                 2.4808,                 3.5605,                 2.7811,               0.067284,             3.2716e-07,             3.2716e-07
                      1,                 2.5245,                 3.4974,                 2.3171,                0.00311,                0.93333,                0.06558,                0.01508,                 1.8058,                 3.4844,                 2.0772,               0.033951,             5.9444e-07,             5.9444e-07
                      2,                 2.4581,                 3.4899,                 2.2847,                0.00316,                0.94667,                 0.0671,                0.01402,                 1.7051,                 3.4793,                  2.023,             0.00061808,             7.9506e-07,             7.9506e-07
                      3,                 2.4306,                 3.4474,                 2.2416,                0.00316,                0.94667,                0.05967,                0.01351,                 1.7098,                 3.4815,                 2.0169,                  7e-07,                  7e-07,                  7e-07
                      4,                 2.4649,                 3.4689,                 2.2794,                0.00311,                0.93333,                0.04734,                 0.0127,                 1.7026,                 3.4794,                 2.0171,                  7e-07,                  7e-07,                  7e-07
                      5,                 2.4088,                 3.4317,                 2.2563,                0.00311,                0.93333,                0.04674,                0.01276,                    1.7,                 3.4781,                 2.0154,                  6e-07,                  6e-07,                  6e-07
                      6,                 2.4118,                 3.4329,                 2.2262,                0.00307,                   0.92,                0.04611,                  0.013,                 1.6934,                  3.481,                 2.0121,                  5e-07,                  5e-07,                  5e-07
                      7,                 2.4697,                 3.4512,                 2.2812,                0.00311,                0.93333,                0.04546,                0.01242,                 1.7002,                 3.4817,                 2.0137,                  4e-07,                  4e-07,                  4e-07
                      8,                 2.4194,                 3.4571,                  2.254,                0.00311,                0.93333,                0.04559,                0.01232,                 1.6983,                 3.4758,                 2.0152,                  3e-07,                  3e-07,                  3e-07
                      9,                 2.4526,                 3.4417,                 2.2575,                0.00316,                0.94667,                0.05999,                 0.0145,                 1.6934,                 3.4709,                 2.0051,                  2e-07,                  2e-07,                  2e-07
