"Step","r1_val_recall","r1_val_recall__MIN","r1_val_recall__MAX"
"16198","0.8886763453483582","0.8886763453483582","0.8886763453483582"
"32397","0.9028308987617493","0.9028308987617493","0.9028308987617493"
"48596","0.8980489373207092","0.8980489373207092","0.8980489373207092"
"64795","0.8592196106910706","0.8592196106910706","0.8592196106910706"
"80994","0.8905891180038452","0.8905891180038452","0.8905891180038452"
"97193","0.8861897587776184","0.8861897587776184","0.8861897587776184"
"113392","0.913733720779419","0.913733720779419","0.913733720779419"
"129591","0.8963274955749512","0.8963274955749512","0.8963274955749512"
"145790","0.9013006687164307","0.9013006687164307","0.9013006687164307"
"161989","0.8957536220550537","0.8957536220550537","0.8957536220550537"
"178188","0.8930757641792297","0.8930757641792297","0.8930757641792297"
"194387","0.8930757641792297","0.8930757641792297","0.8930757641792297"
"210586","0.8970925807952881","0.8970925807952881","0.8970925807952881"
"226785","0.8760520219802856","0.8760520219802856","0.8760520219802856"
"242984","0.9057000875473022","0.9057000875473022","0.9057000875473022"
"259183","0.8842769861221313","0.8842769861221313","0.8842769861221313"
"275382","0.9144988656044006","0.9144988656044006","0.9144988656044006"
"291581","0.8756694793701172","0.8756694793701172","0.8756694793701172"
"307780","0.9022570848464966","0.9022570848464966","0.9022570848464966"
