"Step","wise-spaceship-106 - val_precision","wise-spaceship-106 - val_precision__MIN","wise-spaceship-106 - val_precision__MAX","wise-spaceship-106 - val_f1","wise-spaceship-106 - val_f1__MIN","wise-spaceship-106 - val_f1__MAX","wise-spaceship-106 - val_recall","wise-spaceship-106 - val_recall__MIN","wise-spaceship-106 - val_recall__MAX","celestial-thunder-80 - val_precision","celestial-thunder-80 - val_precision__MIN","celestial-thunder-80 - val_precision__MAX","celestial-thunder-80 - val_f1","celestial-thunder-80 - val_f1__MIN","celestial-thunder-80 - val_f1__MAX","celestial-thunder-80 - val_recall","celestial-thunder-80 - val_recall__MIN","celestial-thunder-80 - val_recall__MAX"
"16198","0.8531942367553711","0.8531942367553711","0.8531942367553711","0.8717159628868103","0.8717159628868103","0.8717159628868103","0.9097169041633606","0.9097169041633606","0.9097169041633606","0.8286788463592529","0.8286788463592529","0.8286788463592529","0.8484749794006348","0.8484749794006348","0.8484749794006348","0.8886763453483582","0.8886763453483582","0.8886763453483582"
"32397","","","","","","","","","","0.845080554485321","0.845080554485321","0.845080554485321","0.863886296749115","0.863886296749115","0.863886296749115","0.9028308987617493","0.9028308987617493","0.9028308987617493"
"48596","","","","","","","","","","0.8716205954551697","0.8716205954551697","0.8716205954551697","0.8802917003631592","0.8802917003631592","0.8802917003631592","0.8980489373207092","0.8980489373207092","0.8980489373207092"
"64795","","","","","","","","","","0.7777041792869568","0.7777041792869568","0.7777041792869568","0.8041803240776062","0.8041803240776062","0.8041803240776062","0.8592196106910706","0.8592196106910706","0.8592196106910706"
"80994","","","","","","","","","","0.8439493179321289","0.8439493179321289","0.8439493179321289","0.8593148589134216","0.8593148589134216","0.8593148589134216","0.8905891180038452","0.8905891180038452","0.8905891180038452"
"97193","","","","","","","","","","0.8641606569290161","0.8641606569290161","0.8641606569290161","0.871430516242981","0.871430516242981","0.871430516242981","0.8861897587776184","0.8861897587776184","0.8861897587776184"
"113392","","","","","","","","","","0.848316490650177","0.848316490650177","0.848316490650177","0.8697651624679565","0.8697651624679565","0.8697651624679565","0.913733720779419","0.913733720779419","0.913733720779419"
"129591","","","","","","","","","","0.8431679606437683","0.8431679606437683","0.8431679606437683","0.8605327606201172","0.8605327606201172","0.8605327606201172","0.8963274955749512","0.8963274955749512","0.8963274955749512"
"145790","","","","","","","","","","0.8641287088394165","0.8641287088394165","0.8641287088394165","0.8762757182121277","0.8762757182121277","0.8762757182121277","0.9013006687164307","0.9013006687164307","0.9013006687164307"
"161989","","","","","","","","","","0.8413667678833008","0.8413667678833008","0.8413667678833008","0.8591541051864624","0.8591541051864624","0.8591541051864624","0.8957536220550537","0.8957536220550537","0.8957536220550537"
"178188","","","","","","","","","","0.8262563347816467","0.8262563347816467","0.8262563347816467","0.8479579091072083","0.8479579091072083","0.8479579091072083","0.8930757641792297","0.8930757641792297","0.8930757641792297"
"194387","","","","","","","","","","0.8634596467018127","0.8634596467018127","0.8634596467018127","0.8732473850250244","0.8732473850250244","0.8732473850250244","0.8930757641792297","0.8930757641792297","0.8930757641792297"
"210586","","","","","","","","","","0.8420839905738831","0.8420839905738831","0.8420839905738831","0.8601182699203491","0.8601182699203491","0.8601182699203491","0.8970925807952881","0.8970925807952881","0.8970925807952881"
"226785","","","","","","","","","","0.8217770457267761","0.8217770457267761","0.8217770457267761","0.8393965363502502","0.8393965363502502","0.8393965363502502","0.8760520219802856","0.8760520219802856","0.8760520219802856"
"242984","","","","","","","","","","0.8791755437850952","0.8791755437850952","0.8791755437850952","0.8877208828926086","0.8877208828926086","0.8877208828926086","0.9057000875473022","0.9057000875473022","0.9057000875473022"
"259183","","","","","","","","","","0.8114005327224731","0.8114005327224731","0.8114005327224731","0.8353404998779297","0.8353404998779297","0.8353404998779297","0.8842769861221313","0.8842769861221313","0.8842769861221313"
"275382","","","","","","","","","","0.8463940620422363","0.8463940620422363","0.8463940620422363","0.8681393265724182","0.8681393265724182","0.8681393265724182","0.9144988656044006","0.9144988656044006","0.9144988656044006"
"291581","","","","","","","","","","0.8411111235618591","0.8411111235618591","0.8411111235618591","0.8523649573326111","0.8523649573326111","0.8523649573326111","0.8756694793701172","0.8756694793701172","0.8756694793701172"
"307780","","","","","","","","","","0.8350703716278076","0.8350703716278076","0.8350703716278076","0.8568668961524963","0.8568668961524963","0.8568668961524963","0.9022570848464966","0.9022570848464966","0.9022570848464966"
