                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2131,                 3.2349,                 1.3852,                0.00287,                      1,                0.08029,                0.03805,                0.75058,                 3.1172,                 1.2232,               0.067284,             3.2716e-07,             3.2716e-07
                      1,                 1.1517,                 3.1718,                 1.3488,                0.00287,                      1,                0.10828,                0.04992,                0.78748,                 3.1376,                 1.2515,               0.033951,             5.9444e-07,             5.9444e-07
                      2,                 1.1626,                 3.1796,                 1.3438,                 0.1656,                0.17333,                0.11141,                0.05315,                0.83951,                 3.1475,                 1.2928,             0.00061808,             7.9506e-07,             7.9506e-07
                      3,                 1.1668,                 3.1374,                 1.3409,                0.23435,                   0.08,                0.10588,                0.04799,                0.85307,                 3.1758,                 1.3029,                  7e-07,                  7e-07,                  7e-07
                      4,                 1.2155,                 3.1678,                 1.3911,                0.23986,                   0.04,                0.10465,                0.05266,                0.84633,                 3.1732,                 1.3025,                  7e-07,                  7e-07,                  7e-07
                      5,                 1.1422,                 3.1145,                 1.3276,                 0.1671,                0.03232,                0.10511,                0.04957,                0.86432,                  3.178,                 1.3183,                  6e-07,                  6e-07,                  6e-07
                      6,                 1.1625,                 3.1328,                 1.3445,                0.17272,                   0.04,                0.10028,                0.04536,                0.86214,                 3.1831,                 1.3202,                  5e-07,                  5e-07,                  5e-07
                      7,                 1.1832,                 3.1453,                 1.3662,                0.27827,                0.09333,                0.10463,                0.04932,                0.85994,                 3.1787,                 1.3122,                  4e-07,                  4e-07,                  4e-07
                      8,                 1.1497,                 3.1573,                 1.3503,                0.19695,                   0.28,                 0.1024,                0.04486,                0.86213,                 3.1782,                 1.3191,                  3e-07,                  3e-07,                  3e-07
                      9,                 1.1636,                 3.1393,                 1.3557,                0.23916,                0.06667,                0.10455,                0.04957,                0.85215,                 3.1799,                 1.3013,                  2e-07,                  2e-07,                  2e-07
