                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     10,                 2.4752,                 3.4426,                 2.2465,                 0.0032,                   0.96,                 0.0582,                0.01361,                 1.6987,                 3.4733,                 2.0044,                8.2e-07,                8.2e-07,                8.2e-07
                     11,                 2.4037,                 3.4236,                 2.2374,                0.00316,                0.94667,                0.04978,                0.01291,                 1.6744,                 3.4607,                  1.998,                  8e-07,                  8e-07,                  8e-07
                     12,                 2.4011,                 3.4374,                 2.2309,                 0.0032,                   0.96,                0.04677,                0.01394,                  1.673,                 3.4732,                 1.9978,                7.8e-07,                7.8e-07,                7.8e-07
                     13,                  2.452,                 3.4656,                  2.248,                0.00307,                   0.92,                0.04497,                0.01268,                 1.6727,                 3.4619,                 1.9913,                7.6e-07,                7.6e-07,                7.6e-07
                     14,                 2.4297,                 3.4541,                  2.238,                0.00311,                0.93333,                0.04977,                0.01301,                 1.6763,                 3.4721,                 1.9915,                7.4e-07,                7.4e-07,                7.4e-07
                     15,                 2.4356,                 3.4388,                 2.2418,                0.00316,                0.94667,                0.06145,                0.01447,                 1.6767,                 3.4717,                 1.9995,                7.2e-07,                7.2e-07,                7.2e-07
                     16,                 2.3752,                 3.4604,                 2.2189,                0.00311,                0.93333,                 0.0624,                0.01601,                 1.6617,                 3.4702,                 1.9937,                  7e-07,                  7e-07,                  7e-07
                     17,                 2.4393,                 3.4367,                 2.2429,                0.00311,                0.93333,                0.05886,                0.01422,                 1.6663,                 3.4653,                 1.9881,                6.8e-07,                6.8e-07,                6.8e-07
                     18,                 2.4848,                 3.4332,                 2.2651,                0.00316,                0.94667,                0.04771,                0.01349,                  1.681,                 3.4592,                 1.9922,                6.6e-07,                6.6e-07,                6.6e-07
                     19,                 2.4589,                 3.4712,                 2.2752,                0.00316,                0.94667,                0.04948,                0.01314,                  1.661,                 3.4554,                 1.9813,                6.4e-07,                6.4e-07,                6.4e-07
                     20,                 2.4045,                  3.423,                 2.2245,                0.00316,                0.94667,                0.04921,                0.01291,                 1.6657,                 3.4604,                 1.9904,                6.2e-07,                6.2e-07,                6.2e-07
                     21,                 2.4481,                  3.459,                 2.2458,                0.00316,                0.94667,                  0.049,                 0.0135,                 1.6663,                 3.4623,                 1.9877,                  6e-07,                  6e-07,                  6e-07
                     22,                 2.3665,                 3.4271,                 2.2281,                0.00307,                   0.92,                0.05257,                0.01335,                 1.6773,                 3.4714,                 1.9994,                5.8e-07,                5.8e-07,                5.8e-07
                     23,                 2.3988,                 3.4567,                 2.2335,                0.00324,                0.97333,                0.05592,                0.01412,                 1.6708,                 3.4539,                 1.9873,                5.6e-07,                5.6e-07,                5.6e-07
                     24,                 2.4083,                 3.4631,                   2.22,                0.00316,                0.94667,                0.05996,                0.01423,                 1.6618,                 3.4555,                  1.981,                5.4e-07,                5.4e-07,                5.4e-07
                     25,                 2.4008,                 3.4333,                 2.2234,                0.00316,                0.94667,                0.05601,                0.01427,                  1.656,                 3.4474,                 1.9745,                5.2e-07,                5.2e-07,                5.2e-07
                     26,                   2.34,                 3.4319,                 2.2292,                 0.0032,                   0.96,                0.04814,                0.01392,                 1.6598,                 3.4568,                 1.9742,                  5e-07,                  5e-07,                  5e-07
                     27,                 2.4692,                 3.4545,                 2.2605,                0.00316,                0.94667,                0.04925,                0.01401,                 1.6736,                 3.4583,                 1.9886,                4.8e-07,                4.8e-07,                4.8e-07
                     28,                 2.3927,                 3.4462,                 2.2357,                 0.0032,                   0.96,                0.05804,                0.01463,                 1.6794,                 3.4718,                 2.0007,                4.6e-07,                4.6e-07,                4.6e-07
                     29,                 2.3991,                 3.4703,                 2.2264,                 0.0032,                   0.96,                0.06042,                0.01499,                 1.6635,                  3.459,                 1.9918,                4.4e-07,                4.4e-07,                4.4e-07
                     30,                 2.3917,                 3.4336,                 2.2202,                0.00316,                0.94667,                0.06195,                0.01567,                 1.6648,                 3.4624,                 1.9898,                4.2e-07,                4.2e-07,                4.2e-07
                     31,                 2.3998,                 3.4465,                 2.2424,                0.00311,                0.93333,                0.05267,                0.01403,                 1.6776,                 3.4708,                 1.9928,                  4e-07,                  4e-07,                  4e-07
                     32,                 2.4379,                 3.4218,                 2.2376,                0.00316,                0.94667,                0.05535,                0.01358,                  1.667,                 3.4655,                 1.9894,                3.8e-07,                3.8e-07,                3.8e-07
                     33,                 2.4329,                 3.4498,                  2.243,                0.00311,                0.93333,                 0.0477,                0.01314,                 1.6683,                  3.469,                 1.9886,                3.6e-07,                3.6e-07,                3.6e-07
                     34,                 2.4299,                 3.4606,                 2.2202,                0.00311,                0.93333,                0.05168,                0.01417,                 1.6814,                 3.4655,                 1.9982,                3.4e-07,                3.4e-07,                3.4e-07
                     35,                  2.467,                 3.4272,                 2.2477,                 0.0032,                   0.96,                0.05828,                0.01388,                 1.6682,                 3.4623,                 1.9864,                3.2e-07,                3.2e-07,                3.2e-07
                     36,                 2.4231,                 3.4503,                  2.222,                 0.0032,                   0.96,                0.06102,                0.01429,                 1.6662,                 3.4602,                 1.9811,                  3e-07,                  3e-07,                  3e-07
                     37,                 2.4385,                 3.4175,                 2.2462,                 0.0032,                   0.96,                0.05649,                0.01409,                 1.6572,                 3.4496,                 1.9754,                2.8e-07,                2.8e-07,                2.8e-07
                     38,                 2.3826,                 3.4219,                 2.2152,                0.00311,                0.93333,                0.05483,                0.01292,                 1.6592,                  3.456,                 1.9808,                2.6e-07,                2.6e-07,                2.6e-07
                     39,                 2.3531,                  3.441,                 2.2164,                0.00324,                0.97333,                0.05685,                0.01415,                 1.6703,                 3.4636,                 1.9951,                2.4e-07,                2.4e-07,                2.4e-07
                     40,                 2.4389,                   3.43,                 2.2459,                0.00316,                0.94667,                0.04546,                0.01287,                 1.6692,                 3.4651,                  1.979,                2.2e-07,                2.2e-07,                2.2e-07
                     41,                 2.3951,                 3.4447,                 2.2327,                0.00307,                   0.92,                0.04757,                0.01266,                  1.674,                 3.4596,                 1.9911,                  2e-07,                  2e-07,                  2e-07
                     42,                 2.4366,                 3.4513,                 2.2302,                0.00311,                0.93333,                0.05817,                0.01404,                 1.6731,                 3.4554,                 1.9892,                1.8e-07,                1.8e-07,                1.8e-07
                     43,                 2.4036,                 3.4319,                 2.2385,                0.00311,                0.93333,                0.04669,                0.01351,                 1.6681,                 3.4592,                 1.9869,                1.6e-07,                1.6e-07,                1.6e-07
                     44,                 2.3845,                 3.4348,                 2.2022,                0.00316,                0.94667,                0.05029,                0.01337,                 1.6619,                 3.4626,                 1.9847,                1.4e-07,                1.4e-07,                1.4e-07
                     45,                 2.4153,                 3.4443,                 2.2266,                0.00311,                0.93333,                0.06029,                0.01475,                 1.6651,                 3.4588,                 1.9825,                1.2e-07,                1.2e-07,                1.2e-07
                     46,                 2.4392,                 3.4622,                  2.227,                0.00307,                   0.92,                0.05129,                0.01393,                 1.6639,                 3.4603,                 1.9917,                  1e-07,                  1e-07,                  1e-07
                     47,                 2.3899,                 3.4629,                 2.2319,                 0.0032,                   0.96,                0.04898,                0.01301,                 1.6575,                 3.4531,                 1.9804,                  8e-08,                  8e-08,                  8e-08
                     48,                 2.3906,                 3.4404,                 2.2279,                 0.0032,                   0.96,                0.05174,                0.01399,                 1.6721,                 3.4675,                  1.995,                  6e-08,                  6e-08,                  6e-08
                     49,                 2.4491,                 3.4623,                 2.2552,                0.00311,                0.93333,                0.05602,                0.01384,                  1.669,                 3.4671,                 1.9985,                  4e-08,                  4e-08,                  4e-08
