                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6795,                 3.5268,                 2.4707,                0.00253,                   0.76,                0.01703,                0.00449,                 2.5409,                 3.6376,                 2.8546,               0.067284,             3.2716e-07,             3.2716e-07
                      1,                 2.5052,                 3.4868,                  2.302,                0.00316,                0.94667,                0.08687,                0.01715,                 1.8021,                 3.5148,                 2.0747,               0.033951,             6.4728e-07,             6.4728e-07
                      2,                 2.4366,                 3.4793,                  2.265,                0.00316,                0.94667,                0.07236,                0.01354,                 1.6778,                 3.4776,                  2.009,             0.00061824,             9.5407e-07,             9.5407e-07
                      3,                 2.4093,                 3.4384,                 2.2229,                0.00316,                0.94667,                0.06059,                0.01425,                 1.6839,                 3.4729,                  1.997,                9.4e-07,                9.4e-07,                9.4e-07
                      4,                 2.4414,                 3.4602,                 2.2603,                0.00316,                0.94667,                0.05404,                0.01349,                 1.6781,                 3.4688,                 2.0002,                9.4e-07,                9.4e-07,                9.4e-07
                      5,                 2.3853,                 3.4234,                 2.2369,                0.00316,                0.94667,                0.05317,                 0.0134,                 1.6759,                 3.4674,                 1.9963,                9.2e-07,                9.2e-07,                9.2e-07
                      6,                 2.3886,                 3.4234,                 2.2072,                0.00307,                   0.92,                0.05387,                0.01361,                  1.672,                 3.4712,                 1.9948,                  9e-07,                  9e-07,                  9e-07
                      7,                 2.4469,                 3.4428,                 2.2616,                0.00311,                0.93333,                0.04723,                0.01308,                 1.6748,                 3.4683,                 1.9966,                8.8e-07,                8.8e-07,                8.8e-07
                      8,                 2.3948,                  3.448,                 2.2332,                 0.0032,                   0.96,                0.05194,                0.01293,                 1.6723,                 3.4665,                 1.9967,                8.6e-07,                8.6e-07,                8.6e-07
                      9,                 2.4278,                 3.4319,                 2.2371,                 0.0032,                   0.96,                0.06273,                0.01508,                 1.6689,                 3.4585,                 1.9859,                8.4e-07,                8.4e-07,                8.4e-07
